"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","2020-01-01",,"53",,"38"
"IN022023000","NEW DELHI PALAM, IN","2020-01-02",,"59","70","42"
"IN022023000","NEW DELHI PALAM, IN","2020-01-03",,"60",,"47"
"IN022023000","NEW DELHI PALAM, IN","2020-01-04",,"58","72","47"
"IN022023000","NEW DELHI PALAM, IN","2020-01-05",,"58","69","45"
"IN022023000","NEW DELHI PALAM, IN","2020-01-06",,"58","69","49"
"IN022023000","NEW DELHI PALAM, IN","2020-01-07","0.00","59","68",
"IN022023000","NEW DELHI PALAM, IN","2020-01-08","0.20","55","66",
"IN022023000","NEW DELHI PALAM, IN","2020-01-09","0.39","49","58",
"IN022023000","NEW DELHI PALAM, IN","2020-01-10","0.00","49",,"42"
"IN022023000","NEW DELHI PALAM, IN","2020-01-11",,"54",,"42"
"IN022023000","NEW DELHI PALAM, IN","2020-01-12",,"58",,"46"
"IN022023000","NEW DELHI PALAM, IN","2020-01-13",,"60","70","49"
"IN022023000","NEW DELHI PALAM, IN","2020-01-14",,"55","69",
"IN022023000","NEW DELHI PALAM, IN","2020-01-15",,"56",,"44"
"IN022023000","NEW DELHI PALAM, IN","2020-01-16","0.01","54","65",
"IN022023000","NEW DELHI PALAM, IN","2020-01-17","0.79","55",,"51"
"IN022023000","NEW DELHI PALAM, IN","2020-01-18","0.00","54","61",
"IN022023000","NEW DELHI PALAM, IN","2020-01-19",,"50","60","43"
"IN022023000","NEW DELHI PALAM, IN","2020-01-20",,"53","60","46"
"IN022023000","NEW DELHI PALAM, IN","2020-01-21",,"56",,"48"
"IN022023000","NEW DELHI PALAM, IN","2020-01-22",,"52","67","47"
"IN022023000","NEW DELHI PALAM, IN","2020-01-23",,"55",,"44"
"IN022023000","NEW DELHI PALAM, IN","2020-01-24",,"56",,
"IN022023000","NEW DELHI PALAM, IN","2020-01-25",,"56","69","43"
"IN022023000","NEW DELHI PALAM, IN","2020-01-26",,"58","70","45"
"IN022023000","NEW DELHI PALAM, IN","2020-01-27",,"61","72","49"
"IN022023000","NEW DELHI PALAM, IN","2020-01-28","0.16","60","72","53"
"IN022023000","NEW DELHI PALAM, IN","2020-01-29","0.12","58","69","49"
"IN022023000","NEW DELHI PALAM, IN","2020-01-30","0.00","57","68","46"
"IN022023000","NEW DELHI PALAM, IN","2020-01-31",,"53","68","43"
"IN022023000","NEW DELHI PALAM, IN","2020-02-01",,"56",,"44"
"IN022023000","NEW DELHI PALAM, IN","2020-02-02",,"53","68","43"
"IN022023000","NEW DELHI PALAM, IN","2020-02-03",,"57",,"43"
"IN022023000","NEW DELHI PALAM, IN","2020-02-04",,"59","71","44"
"IN022023000","NEW DELHI PALAM, IN","2020-02-05",,"58","72","46"
"IN022023000","NEW DELHI PALAM, IN","2020-02-06",,"55","70","45"
"IN022023000","NEW DELHI PALAM, IN","2020-02-07",,"56",,"44"
"IN022023000","NEW DELHI PALAM, IN","2020-02-08",,"57",,"45"
"IN022023000","NEW DELHI PALAM, IN","2020-02-09",,"58","70","45"
"IN022023000","NEW DELHI PALAM, IN","2020-02-10",,"56","71",
"IN022023000","NEW DELHI PALAM, IN","2020-02-11",,"60","71","44"
"IN022023000","NEW DELHI PALAM, IN","2020-02-12",,"61",,"47"
"IN022023000","NEW DELHI PALAM, IN","2020-02-13",,"66",,"50"
"IN022023000","NEW DELHI PALAM, IN","2020-02-14",,"63","81",
"IN022023000","NEW DELHI PALAM, IN","2020-02-15",,"63","77","47"
"IN022023000","NEW DELHI PALAM, IN","2020-02-16",,"64",,"48"
"IN022023000","NEW DELHI PALAM, IN","2020-02-17",,"64","79","49"
"IN022023000","NEW DELHI PALAM, IN","2020-02-18",,"64","80","48"
"IN022023000","NEW DELHI PALAM, IN","2020-02-19",,"68","80","49"
"IN022023000","NEW DELHI PALAM, IN","2020-02-20",,"69","80","57"
"IN022023000","NEW DELHI PALAM, IN","2020-02-21","0.12","61","82",
"IN022023000","NEW DELHI PALAM, IN","2020-02-22","0.00","65",,"54"
"IN022023000","NEW DELHI PALAM, IN","2020-02-23",,"69",,"56"
"IN022023000","NEW DELHI PALAM, IN","2020-02-24",,"67","79","54"
"IN022023000","NEW DELHI PALAM, IN","2020-02-25",,"67","80","55"
"IN022023000","NEW DELHI PALAM, IN","2020-02-26",,"68","80","57"
"IN022023000","NEW DELHI PALAM, IN","2020-02-27",,"70","81","58"
"IN022023000","NEW DELHI PALAM, IN","2020-02-28",,"70","82","62"
"IN022023000","NEW DELHI PALAM, IN","2020-02-29",,"68","82",
"IN022023000","NEW DELHI PALAM, IN","2020-03-01",,"69","83","57"
"IN022023000","NEW DELHI PALAM, IN","2020-03-02",,"71",,"60"
